category,question,option1,option2,option3,option4,correct_answer
mat,Vilken italiensk rätt är en krämig risbaserad maträtt som ofta innehåller svamp eller skaldjur?,Gnocchi,Frittata,Risotto,Lasagne,Risotto
mat,Vilken frukt är känd för att vara gul när den är mogen och har en söt mjuk smak?,Apple,Banana,Mango,Pineapple,Banana
mat,Vilken typ av bröd är lång och smal och kommer från Frankrike?,Baguette,Ciabatta,Sourdough,Pita,Baguette
mat,Vilken italiensk efterrätt är gjord på mascarpone kaffe och kakao?,Tiramisu,Gelato,Cannoli,Panna Cotta,Tiramisu
tv-serier,Vilken TV-serie handlar om en kemilärare som blir en droghandlare?,Breaking Bad,The Sopranos,Game of Thrones,Friends,Breaking Bad
tv-serier,Vilken TV-serie utspelar sig i en värld där en grupp barn stöter på övernaturliga krafter?,Stranger Things,The Mandalorian,The Witcher,Westworld,Stranger Things
tv-serier,Vilken mockumentary-serie följer livet på ett kontor i Scranton Pennsylvania?,The Office,Parks and Recreation,Brooklyn Nine-Nine,Arrested Development,The Office
tv-serier,Vilken TV-serie handlar om det brittiska kungahuset och drottning Elizabeth II:s regeringstid?,The Crown,Downton Abbey,Vikings,The Tudors,The Crown
tv-serier,Vilken TV-serie handlar om ett gäng vänner som bor i New York?,Friends,How I Met Your Mother,Big Bang Theory,Two and a Half Men,Friends
tv-serier,Vilken serie handlar om en colombiansk drogkartell och dess ledare Pablo Escobar?,Narcos,Breaking Bad,Peaky Blinders,Ozark,Narcos
